	facts
1147	I work at a vet, My husband is a lawyer, I have 2 kids, I love flowers, My favorite band is metallica, I am a college student, I own 4 cats, I work at the grocery store, I ride a unicycle
1148	I work at a vet, My husband is a lawyer, I love flowers, I have 2 kids, I have 3 dog, I play jazz piano in a band, I like to go hiking on the weekends, I can speak arabic , english , and french, My family is from algeria, I am a barista
1149	I work for peta, I like to make clothes, I love animals, I am a vegetarian, I make 50k a year, I have two cats , milo and fio, My favorite sport is soccer, My brother works at best buy, I am canadian, I love video games
1150	I work in a lab, I ve been a vegan since i was 5, I have two brothers, I love to sleep in, I have lived a very sheltered life, I m about to go off to college at a very liberal school soon, I plan to raise hell and sew my wild oats, I am 17, I go to a catholic high school in new england
1151	I work in a lab, I have been a vegan since i was 5, I have two brothers, I love to sleep in, I believe in love at first sight, I love non gmo foods, Favorite band is red hot chilli peppers, I love cold weather, I love dark clothes, I work two jobs as a cashier
1152	Like a skeleton, I m dumpy, I have long fingers, I have long legs, I can t eat shrimp, I am looking for a second job, Running is a hobby, My dream is to own my own restaurant, I work as a grill cook
1153	My car is black, I am a recruiter, I do not own any pets, My favorite meal is brunch, I am single, I drive a bmw, I am in debt, I love to shop, I have a lot of friends
1154	My car is black, My favorite artist is 2pac, I drive a fast car, I like to listen to rap music, My favorite song is california love, I am an old soul, I tend to work myself up, My back hurts chronically, I am passionate about a lot of things
1155	My car is black, My favorite song is california love, I drive a fast car, I like to listen to rap music, I have trouble getting motivated, I slack off on my homework, I m a hopeless romantic, I have bad luck with relationships, I daydream during work
1156	My name is dave, I live in las vegas , nevada, I go fishing on the weekends to relax, I love hiking and staying fit, I work as a personal trainer , 5 days a week, I can t do math, I also eat too much french fries, I just got a new sweater, I smell like french fries, It was too small
1157	My name is dave, I live in las vegas , nevada, I go fishing on the weekends to relax, I love hiking and staying fit, I work as a personal trainer , 5 days a week, I like to wear red, I wear a red purse, I like to wear red shoes also, I use red lipstick, I drive a red car
1158	My name is dave, I love hiking and staying fit, I live in las vegas , nevada, I work as a personal trainer , 5 days a week, I go fishing on the weekends to relax, My favorite music is two steps from hell and rock opera genre, I eat tuna fish salad at least every day, I have sandy brown hair and green eyes, I read sci fi space adventures with a passion
1159	My name is dave, I go fishing on the weekends to relax, I love hiking and staying fit, I work as a personal trainer , 5 days a week, I live in las vegas , nevada, I love to go shopping, My favorite pizza is pepperoni, I teach first grade, I drink lots of iced tea
1160	My name is mary, I am a receptionist at a doctors office, I manage all the paperwork and incoming calls, I am also a fulltime student studying radiology at local college, My weekends are spent studying and looking over client files, I am a student living at home while pursuing my music industry degree, I dream of playing music for a living, Both my parents are creative, My dad works in the automotive industry, Mom in telecommunications
1161	My name is nick, I have lots of friends, I don t like music, I like to ride my scooter, My favorite car is the ford mustang, I like to go to the movies, I walk more than 2 miles a day, I worked 3 jobs at the same time for more than 5 years
1162	My name is nick, I like to ride my scooter, I do not like music, I have red hair, I have lots of friends, I wish my mom was healthier, I wish i could go to a better school, I worry about my image, I live in a bad neighborhood
1163	My name is omar, I have never been to the city, I am the youngest of three brothers, I play guitar in the local band, I will work hard for whatever i want, I often play the clown to get attention, I want people to notice me, I grew up as an orphan, I care deeply for my friends and others close to me
1164	My name is omar, I live on a small farm in ohio, I play guitar in the local band, I am the youngest of three brothers, I don t like trying new things, I want to be alone sometimes, I like the library, I don t trust anyone, I feel competitive against other women
1165	My name is omar, I live on a small farm in ohio, I am the youngest of three brothers, I play guitar in the local band, I have never been to the city, I work at the local bank, I have been divorced for 2 years, I love collecting teapots, My grandmother lives in my guesthouse, I am a cat person
1166	My name is omar, I am the youngest of three brothers, I have never been to the city, I live on a small farm in ohio, I play guitar in the local band, I plan to retire in 6 months, I have the support of my whole family, I have studied ballet all my life, My mother is a ballerina
